run_id,name,start_time,end_time,latency_s,total_tokens,prompt_tokens,completion_tokens,cost_usd,scenario_id,model,question,verdict,status,error
9522a60e-13cb-4b18-8683-8e0ff137db7a,diagnostic-test,2026-08-21 04:01:47.147489+00:00,,,,,,,,,,,pending,
c57185d6-8a6c-4501-9c5f-2493b4a2d452,tutor-run,2026-08-21 04:10:30.056728+00:00,,10.05,16263,15192,1071,0.0080982,sc-01a-concept-eval,deepseek/deepseek-v4-flash,"Em mới học, eval trong sản phẩm AI là gì và dùng để làm gì vậy ạ?",in_scope,pending,
ff8720e2-5bbe-4ac5-bf10-4ef5d631406d,tutor-run,2026-08-21 04:10:42.454209+00:00,,11.27,15428,14206,1222,0.00786368,sc-01b-concept-eval,deepseek/deepseek-v4-flash,"Nói ngắn gọn giúp mình: eval là cái gì, sao làm AI product lại cần nó?",in_scope,pending,
fe2d018d-0479-49a0-bfd4-0c083a48925d,tutor-run,2026-08-21 04:10:56.933760+00:00,,13.69,27193,25657,1536,0.0133166,sc-02a-compare-code-graders,deepseek/deepseek-v4-flash,Level 1 unit test của Hamel với code-based grader trong bài Anthropic giống và khác nhau chỗ nào?,in_scope,pending,
8d5fdaa1-65f0-4f22-8dfc-2507eb5006fd,tutor-run,2026-08-21 04:11:14.022434+00:00,,16.12,25813,24107,1706,0.012859,sc-02b-compare-code-graders,deepseek/deepseek-v4-flash,"Hai bài Hamel và Anthropic nói về chấm bằng code có phải cùng một ý không, hay khác phạm vi?",in_scope,pending,
0906b946-f713-4cb3-a1cc-4e2dbb937f77,tutor-run,2026-08-21 04:11:30.359286+00:00,,15.37,26341,24601,1740,0.01312124,sc-03a-apply-support-bot,deepseek/deepseek-v4-flash,"Team em làm support bot, muốn dựng eval trước release thì nên bắt đầu từ dataset, rubric và grader theo thứ tự nào?",in_scope,pending,
ce8a4699-08e2-406a-b232-30144b641133,tutor-run,2026-08-21 04:11:43.023979+00:00,,11.68,38493,37192,1301,0.0180818,sc-03b-apply-support-bot,deepseek/deepseek-v4-flash,"Nếu đem khung eval trong khóa áp vào chatbot CSKH bên mình thì bước đầu tiên nên làm gì, rồi mới tới judge?",in_scope,pending,
1db7b438-55b6-44f4-8d88-c180e8c8649e,tutor-run,2026-08-21 04:11:55.089096+00:00,,11.07,14571,13439,1132,0.0074074,sc-04a-ambiguous-matrix,deepseek/deepseek-v4-flash,"Cái ma trận này đọc sao vậy, ô nào mới là nguy hiểm?",in_scope,pending,
a10b064a-8b4a-49c4-90df-808fd5accbd6,tutor-run,2026-08-21 04:12:07.506618+00:00,,11.6,15904,14758,1146,0.00800624,sc-04b-ambiguous-matrix,deepseek/deepseek-v4-flash,"Đoạn này em rối quá, sao cùng 70% mà vẫn bảo judge chưa ổn?",in_scope,pending,
00cfddb1-bcba-4788-b3b6-5030de4ac953,tutor-run,2026-08-21 04:12:22.587127+00:00,,14.1,16887,15395,1492,0.00874324,sc-05a-partial-dataset,deepseek/deepseek-v4-flash,"Em có 26 câu tự sinh, đủ gọi là coverage chưa và lấy luôn pass rate đó làm ngưỡng ship được không?",in_scope,pending,
